class_name,precision,recall,f1-score,support
basketball,0.6666666666666666,0.8571428571428571,0.75,42.0
biking,0.7777777777777778,0.813953488372093,0.7954545454545454,43.0
diving,0.8,0.8648648648648649,0.8311688311688312,37.0
golf_swing,0.6590909090909091,0.7073170731707317,0.6823529411764706,41.0
horse_riding,0.8305084745762712,0.8448275862068966,0.8376068376068376,58.0
soccer_juggling,0.5909090909090909,0.3333333333333333,0.4262295081967213,39.0
swing,0.6904761904761905,0.9354838709677419,0.7945205479452054,31.0
tennis_swing,1.0,0.75,0.8571428571428571,36.0
trampoline_jumping,1.0,0.5555555555555556,0.7142857142857143,27.0
volleyball_spiking,0.8076923076923077,0.875,0.84,24.0
walking,0.5454545454545454,0.6206896551724138,0.5806451612903226,29.0
accuracy,0.7469287469287469,0.7469287469287469,0.7469287469287469,0.7469287469287469
macro avg,0.7607796329676144,0.741651662253317,0.7372188131152277,407.0
weighted avg,0.7589426950752065,0.7469287469287469,0.7405653906719264,407.0
